id_f;titre_f;description_f;annee_f;id_g;id_r
;Le Voyage de Chihiro;"Chihiro, dix ans, a tout d'une petite fille capricieuse. Elle s'apprête à emménager avec ses parents dans une nouvelle demeure.
Sur la route, la petite famille se retrouve face à un immense bâtiment rouge au centre duquel s'ouvre un long tunnel. De l'autre côté du passage se dresse une ville fantôme. Les parents découvrent dans un restaurant désert de nombreux mets succulents et ne tardent pas à se jeter dessus. Ils se retrouvent alors transformés en cochons.
Prise de panique, Chihiro s'enfuit et se dématérialise progressivement. L'énigmatique Haku se charge de lui expliquer le fonctionnement de l'univers dans lequel elle vient de pénétrer. Pour sauver ses parents, la fillette va devoir faire face à la terrible sorcière Yubaba, qui arbore les traits d'une harpie méphistophélique. ";2002;;
;Fous d'Irène;Charlie Baileygates est un policier souffrant de troubles de la personnalite. Apres avoir suivi un traitement medical, il se voit confier la mission d'escorter Irene Waters dans un autre Etat, ou elle est recherchee pour une grave violation au code de la route. Mais Charlie entame ce voyage en oubliant ses medicaments, permettant par la-meme a son alter ego derange, Hank, de refaire surface. Et lorsque les deux personnalites commencent a se disputer l'amour de leur belle prisonniere, Irene se rend compte qu'elle est finalement attiree... par les deux. ;2000;;
;Fight Club;Le narrateur, sans identité précise, vit seul, travaille seul, dort seul, mange seul ses plateaux-repas pour une personne comme beaucoup d'autres personnes seules qui connaissent la misère humaine, morale et sexuelle. C'est pourquoi il va devenir membre du Fight club, un lieu clandestin ou il va pouvoir retrouver sa virilité, l'échange et la communication. Ce club est dirigé par Tyler Durden, une sorte d'anarchiste entre gourou et philosophe qui prêche l'amour de son prochain. ;1999;;
;Her;Los Angeles, dans un futur proche. Theodore Twombly, un homme sensible au caractère complexe, est inconsolable suite à une rupture difficile. Il fait alors l'acquisition d'un programme informatique ultramoderne, capable de s'adapter à la personnalité de chaque utilisateur. En lançant le système, il fait la connaissance de 'Samantha', une voix féminine intelligente, intuitive et étonnamment drôle. Les besoins et les désirs de Samantha grandissent et évoluent, tout comme ceux de Theodore, et peu à peu, ils tombent amoureux…;2013;;
;Le péril jeune;Quelques jeunes hommes se retrouvent plusieurs années après avoir quitté le lycée. Ils assistent pendant son accouchement la compagne de leur meilleur ami, mort une semaine auparavant d'une overdose. C'est pour eux l'occasion de confronter leurs souvenirs.;1995;;
;Gone Girl;À l’occasion de son cinquième anniversaire de mariage, Nick Dunne signale la disparition de sa femme, Amy. Sous la pression de la police et l’affolement des médias, l’image du couple modèle commence à s’effriter. Très vite, les mensonges de Nick et son étrange comportement amènent tout le monde à se poser la même question : a-t-il tué sa femme ?;2014;;
;300;Adapt‚ du roman graphique de Frank Miller, 300 est un r‚cit ‚pique de la Bataille des Thermopyles, qui opposa en l'an - 480 le roi L‚onidas et 300 soldats spartiates … XerxŠs et l'immense arm‚e perse. Face … un invincible ennemi, les 300 d‚ployŠrent jusqu'… leur dernier souffle un courage surhumain ; leur vaillance et leur h‚ro‹que sacrifice inspirŠrent toute la GrŠce … se dresser contre la Perse, posant ainsi les premiŠres pierres de la d‚mocratie.;2007;;
;Troie;Dans la GrŠce antique, l'enlŠvement d'H‚lŠne, reine de Sparte, par Paris, prince de Troie, est une insulte que le roi M‚n‚las ne peut supporter. L'honneur familial ‚tant en jeu, Agamemnon, frŠre de M‚n‚las et puissant roi de MycŠnes, r‚unit toutes les arm‚es grecques afin de faire sortir H‚lŠne de Troie.;2004;;
;Braveheart;Evocation de la vie tumultueuse de William Wallace, h‚ros et symbole de l'ind‚pendance ‚cossaise, qui … la fin du XIIIe siŠcle affronta les troupes du roi d'Angleterre Edward I qui venaient d'envahir son pays.;1995;;

